channel,landing_url,utm_url
g2,https://inseat.achievengine.com/,"https://inseat.achievengine.com/?utm_source=g2&utm_medium=review&utm_campaign=2026q2_launch&utm_content=profile"
capterra,https://inseat.achievengine.com/,"https://inseat.achievengine.com/?utm_source=capterra&utm_medium=review&utm_campaign=2026q2_launch&utm_content=profile"
getapp,https://inseat.achievengine.com/,"https://inseat.achievengine.com/?utm_source=getapp&utm_medium=review&utm_campaign=2026q2_launch&utm_content=profile"
software_advice,https://inseat.achievengine.com/,"https://inseat.achievengine.com/?utm_source=software_advice&utm_medium=review&utm_campaign=2026q2_launch&utm_content=profile"
saasworthy,https://inseat.achievengine.com/,"https://inseat.achievengine.com/?utm_source=saasworthy&utm_medium=directory&utm_campaign=2026q2_launch&utm_content=listing"
saashub,https://inseat.achievengine.com/,"https://inseat.achievengine.com/?utm_source=saashub&utm_medium=directory&utm_campaign=2026q2_launch&utm_content=listing"
alternativeto,https://inseat.achievengine.com/,"https://inseat.achievengine.com/?utm_source=alternativeto&utm_medium=directory&utm_campaign=2026q2_launch&utm_content=about_page"
product_hunt,https://inseat.achievengine.com/,"https://inseat.achievengine.com/?utm_source=product_hunt&utm_medium=launch&utm_campaign=2026q2_launch&utm_content=launch_day"
betalist,https://inseat.achievengine.com/,"https://inseat.achievengine.com/?utm_source=betalist&utm_medium=launch&utm_campaign=2026q2_launch&utm_content=feature_page"
rtn,https://inseat.achievengine.com/,"https://inseat.achievengine.com/?utm_source=rtn&utm_medium=partner&utm_campaign=2026q2_launch&utm_content=membership_outreach"
square,https://inseat.achievengine.com/integrations,"https://inseat.achievengine.com/integrations?utm_source=square&utm_medium=partner&utm_campaign=2026q2_launch&utm_content=app_marketplace"
toast,https://inseat.achievengine.com/integrations,"https://inseat.achievengine.com/integrations?utm_source=toast&utm_medium=partner&utm_campaign=2026q2_launch&utm_content=partner_program"
clover,https://inseat.achievengine.com/integrations,"https://inseat.achievengine.com/integrations?utm_source=clover&utm_medium=partner&utm_campaign=2026q2_launch&utm_content=app_market"
